miRNA,PMID,Entrez Gene Id
hsa-miR-1,15685193,5440
hsa-miR-1,18461144,5440
hsa-miR-1,15685193,5756
hsa-miR-1,18461144,5756
hsa-miR-1,18461144,5867
hsa-miR-1,18461144,5928
hsa-miR-1,15685193,6385
hsa-miR-1,18461144,6391
hsa-miR-1,18461144,6422
hsa-miR-1,18461144,6457
hsa-miR-1,15685193,6936
hsa-miR-1,15685193,7078
hsa-miR-1,15685193,7106
hsa-miR-1,18461144,7114
hsa-miR-1,15685193,7171
hsa-miR-1,18461144,7295
hsa-miR-1,15685193,8350
hsa-miR-1,15685193,8351
hsa-miR-1,15685193,8352
hsa-miR-1,15685193,8353
hsa-miR-1,15685193,8354
hsa-miR-1,15685193,8355
hsa-miR-1,15685193,8356
hsa-miR-1,15685193,8357
hsa-miR-1,15685193,8358
hsa-miR-1,15685193,8407
hsa-miR-1,18461144,8407
hsa-miR-1,18461144,8624
hsa-miR-1,18461144,8655
hsa-miR-1,15685193,8683
hsa-miR-1,18461144,8683
hsa-miR-1,15685193,8968
hsa-miR-1,15685193,9411
hsa-miR-1,15685193,9883
hsa-miR-1,15685193,9910
hsa-miR-1,15685193,10090
hsa-miR-1,18461144,10244
hsa-miR-1,15685193,10487
hsa-miR-1,15685193,10608
hsa-miR-1,15685193,10904
hsa-miR-1,15685193,11158
hsa-miR-1,15685193,11159
hsa-miR-1,15685193,22841
hsa-miR-1,15685193,22856
hsa-miR-1,15685193,22876
hsa-miR-1,15685193,23214
hsa-miR-1,15685193,23321
hsa-miR-1,15685193,23370
hsa-miR-1,15685193,23446
hsa-miR-1,15685193,23531
hsa-miR-1,18461144,26123
hsa-miR-1,18461144,26578
hsa-miR-1,18461144,26580
hsa-miR-1,15685193,27095
hsa-miR-1,15685193,27230
hsa-miR-1,15685193,27250
hsa-miR-1,15685193,27436
hsa-miR-1,18461144,28985
hsa-miR-1,18461144,29058
hsa-miR-1,18461144,29078
hsa-miR-1,15685193,29956
hsa-miR-1,18461144,30850
hsa-miR-1,15685193,50515
hsa-miR-1,15685193,51098
hsa-miR-1,18461144,51175
hsa-miR-1,15685193,51444
hsa-miR-1,15685193,51447
hsa-miR-1,18461144,51465
hsa-miR-1,15685193,54502
hsa-miR-1,15685193,54566
hsa-miR-1,15685193,54585
hsa-miR-1,18461144,54780
hsa-miR-1,15685193,54964
hsa-miR-1,15685193,55041
hsa-miR-1,15685193,55276
hsa-miR-1,18461144,55276
hsa-miR-1,18461144,55315
hsa-miR-1,15685193,55327
hsa-miR-1,18461144,55744
hsa-miR-1,15685193,55775
hsa-miR-1,15685193,55832
hsa-miR-1,18461144,57446
hsa-miR-1,15685193,57461
hsa-miR-1,15685193,57472
hsa-miR-1,15685193,57580
hsa-miR-1,15685193,57645
hsa-miR-1,18461144,57696
hsa-miR-1,15685193,57698
hsa-miR-1,15685193,63898
hsa-miR-1,15685193,63929
hsa-miR-1,18461144,64425
hsa-miR-1,18461144,79022
hsa-miR-1,15685193,79794
hsa-miR-1,15685193,79850
hsa-miR-1,18461144,80306
hsa-miR-1,18461144,81671
hsa-miR-1,15685193,81831
hsa-miR-1,18461144,83787
hsa-miR-1,18461144,84278
hsa-miR-1,18461144,84747
hsa-miR-1,15685193,84951
hsa-miR-1,18461144,90522
hsa-miR-1,15685193,92370
hsa-miR-1,15685193,126731
hsa-miR-1,15685193,126961
hsa-miR-1,15685193,127933
hsa-miR-1,15685193,132789
hsa-miR-1,15685193,140809
hsa-miR-1,18461144,140809
hsa-miR-1,18461144,143458
hsa-miR-1,15685193,145773
hsa-miR-1,15685193,147463
hsa-miR-1,18461144,200916
hsa-miR-1,18461144,201562
hsa-miR-1,18461144,253512
hsa-miR-1,15685193,333932
hsa-miR-1,18461144,341306
hsa-miR-1,18461144,352909
hsa-miR-1,18461144,378464
hsa-miR-1,18461144,390498
hsa-miR-1,18461144,440151
hsa-miR-1,18461144,440388
hsa-miR-1,18461144,440921
hsa-miR-1,15685193,440926
hsa-miR-1,18461144,441454
hsa-miR-1,18461144,441456
hsa-miR-1,15685193,644914
hsa-miR-1,15685193,653604
hsa-miR-1,15685193,728914
hsa-miR-103,17242205,23
hsa-miR-103,17242205,740
hsa-miR-103,17242205,818
hsa-miR-103,17242205,898
hsa-miR-103,17242205,1017
hsa-miR-103,17242205,1021
hsa-miR-103,17242205,1649
hsa-miR-103,17242205,1728
hsa-miR-103,17242205,1729
hsa-miR-103,17242205,1789
hsa-miR-103,17242205,1979
hsa-miR-103,17242205,2175
hsa-miR-103,17242205,2178
hsa-miR-103,17242205,3038
hsa-miR-103,17242205,3833
hsa-miR-103,17242205,3930
hsa-miR-103,17242205,3988
hsa-miR-103,17242205,4216
hsa-miR-103,17242205,4627
hsa-miR-103,17242205,5195
hsa-miR-103,17242205,5338
hsa-miR-103,17242205,5347
hsa-miR-103,17242205,5537
hsa-miR-103,17242205,6241
hsa-miR-103,17242205,6391
hsa-miR-103,17242205,6505
hsa-miR-103,17242205,6892
hsa-miR-103,17242205,6895
hsa-miR-103,17242205,6903
hsa-miR-103,17242205,7083
hsa-miR-103,17242205,7335
hsa-miR-103,17242205,7425
hsa-miR-103,17242205,7533
hsa-miR-103,17242205,8091
hsa-miR-103,17242205,8394
hsa-miR-103,17242205,8451
hsa-miR-103,17242205,8728
hsa-miR-103,17242205,9709
hsa-miR-103,17242205,9741
hsa-miR-103,17242205,10184
hsa-miR-103,17242205,10284
hsa-miR-103,17242205,10397
hsa-miR-103,17242205,10614
hsa-miR-103,17242205,10712
hsa-miR-103,17242205,10938
hsa-miR-103,17242205,11065
hsa-miR-103,17242205,22934
hsa-miR-103,17242205,23170
hsa-miR-103,17242205,23264
hsa-miR-103,17242205,23306
hsa-miR-103,17242205,23321
hsa-miR-103,17242205,23499
hsa-miR-103,17242205,25777
hsa-miR-103,17242205,26001
hsa-miR-103,17242205,26064
hsa-miR-103,17242205,26073
hsa-miR-103,17242205,26147
hsa-miR-103,17242205,27338
hsa-miR-103,17242205,28985
hsa-miR-103,17242205,49856
hsa-miR-103,17242205,50861
hsa-miR-103,17242205,51026
hsa-miR-103,17242205,51030
hsa-miR-103,17242205,51123
hsa-miR-103,17242205,51479
hsa-miR-103,17242205,51499
hsa-miR-103,17242205,51805
hsa-miR-103,17242205,54206
hsa-miR-103,17242205,55038
hsa-miR-103,17242205,55165
hsa-miR-103,17242205,55246
hsa-miR-103,17242205,55536
hsa-miR-103,17242205,55585
hsa-miR-103,17242205,55723
hsa-miR-103,17242205,56181
hsa-miR-103,17242205,57048
hsa-miR-103,17242205,57149
hsa-miR-103,17242205,57157
hsa-miR-103,17242205,57405
hsa-miR-103,17242205,57561
hsa-miR-103,17242205,57630
hsa-miR-103,17242205,63901
hsa-miR-103,17242205,64065
hsa-miR-103,17242205,64118
hsa-miR-103,17242205,64768
hsa-miR-103,17242205,64834
hsa-miR-103,17242205,64841
hsa-miR-103,17242205,79065
hsa-miR-103,17242205,79180
hsa-miR-103,17242205,79413
hsa-miR-103,17242205,79571
hsa-miR-103,17242205,79693
hsa-miR-103,17242205,79801
hsa-miR-103,17242205,79903
hsa-miR-103,17242205,81562
hsa-miR-103,17242205,81876
hsa-miR-103,17242205,83606
hsa-miR-103,17242205,84220
hsa-miR-103,17242205,84707
hsa-miR-103,17242205,84881
hsa-miR-103,17242205,84926
hsa-miR-103,17242205,94241
hsa-miR-103,17242205,112495
hsa-miR-103,17242205,112770
hsa-miR-103,17242205,113130
hsa-miR-103,17242205,124222
hsa-miR-103,17242205,158293
hsa-miR-103,17242205,221002
hsa-miR-103,17242205,645181
hsa-miR-103,17242205,100130383
hsa-miR-106b,17242205,440
hsa-miR-106b,17242205,627
hsa-miR-106b,17242205,1979
hsa-miR-106b,17242205,2152
hsa-miR-106b,17242205,2739
hsa-miR-106b,17242205,4277
hsa-miR-106b,17242205,5445
